Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Casey Lawrence,Mariners,0,0,4.54,0,1,0,1,1,1,0,1,0,1.35,6.54,2.4,4.56,0,0,999,11121
Bruce Rondon,Tigers,0,0,4.41,0,1,0,1,1,0,0,1,1,1.43,9.57,4.81,4.56,0,0,999,5766
Ryan Cook,Red Sox,0,0,4.58,0,1,0,1,1,1,0,1,0,1.45,7.85,4.07,4.56,0,0,999,8855
Jacob Webb,Braves,0,0,4.44,0,1,0,1,1,0,0,1,1,1.5,9.3,5.27,4.57,0,0,999,sa829328
J.R. Graham,Twins,0,0,4.53,0,1,0,1,1,1,0,1,0,1.42,8.03,3.8,4.57,0,0,999,12042
Zac Curtis,Phillies,0,0,4.32,0,10,0,10,9,5,1,10,5,1.4,9.08,4.27,4.57,0,0,999,16684
James Farris,Rockies,0,0,4.65,0,1,0,1,1,1,0,1,0,1.41,8.82,3.77,4.57,0,0,999,sa708443
Ubaldo Jimenez,,8,9,4.67,26,26,0,141,141,73,19,126,60,1.43,8.04,3.86,4.57,1.5,1.2,999,3374
Bradley Roney,Braves,0,0,4.28,0,1,0,1,1,0,0,1,1,1.56,10.5,6.54,4.57,0,0,999,sa598926
David Roseboom,Mets,0,0,4.33,0,1,0,1,1,0,0,1,0,1.44,7.91,4.1,4.57,0,0,999,sa550321
Kyle Drabek,Diamondbacks,0,0,4.5,0,1,0,1,1,0,0,1,0,1.47,6.76,3.71,4.57,0,0,999,4359
C.J. Robinson,Marlins,0,0,4.48,0,1,0,1,1,0,0,1,1,1.52,7.42,4.62,4.57,0,0,999,sa737907
Chase Huchingson,Mets,0,0,4.24,0,1,0,1,1,0,0,1,1,1.54,8.19,5.19,4.57,0,0,999,sa455464
David Aardsma,Braves,0,0,4.53,0,1,0,1,1,1,0,1,0,1.4,9.23,4.2,4.57,0,0,999,1902
Kody Kerski,Mariners,0,0,4.46,0,1,0,1,1,0,0,1,0,1.42,7.13,3.49,4.58,0,0,999,sa827378
Nick Tropeano,Angels,5,4,4.35,13,13,0,73,69,35,11,66,27,1.32,8.14,3.37,4.58,0.7,0.8,643.9,12385
Giovanni Soto,Indians,0,0,4.26,0,1,0,1,1,0,0,1,1,1.49,8.34,4.87,4.58,0,0,999,10330
Wander Suero,Nationals,0,0,4.45,0,10,0,10,10,5,1,9,4,1.4,7.94,3.75,4.58,0,0,999,sa548041
Elvis Araujo,Phillies,0,0,4.37,0,1,0,1,1,0,0,1,0,1.44,8.94,4.48,4.58,0,0,999,12854
D.J. Myers,Giants,0,0,4.47,0,0,0,1,1,0,0,1,0,1.42,6.23,3.29,4.58,0,0,999,sa918356
Anthony Varvaro,Red Sox,0,0,4.63,0,1,0,1,1,1,0,1,0,1.44,7.41,3.7,4.58,0,0,999,2385
Dana Eveland,Rays,0,0,4.28,0,1,0,1,1,0,0,1,0,1.41,7.11,3.68,4.58,0,0,999,5508
Scott Atchison,Indians,0,0,4.54,0,1,0,1,1,1,0,1,0,1.4,6.24,2.74,4.58,0,0,999,2642
Frank Garces,Padres,0,0,4.4,0,1,0,1,1,0,0,1,0,1.4,8.22,3.82,4.58,0,0,999,13144
Chad Rogers,Braves,0,0,4.56,0,1,0,1,1,1,0,1,0,1.42,8.3,3.94,4.58,0,0,999,sa549784
Jacob Turner,Marlins,5,6,4.71,13,38,0,98,104,51,12,76,41,1.48,7,3.75,4.58,0.6,0.3,999,10185
Matt Anderson,Mariners,0,0,4.46,0,1,0,1,1,0,0,1,0,1.39,7.52,3.46,4.58,0,0,999,sa602589
Carlos Villanueva,Padres,0,0,4.56,0,1,0,1,1,1,0,1,0,1.36,7.4,2.91,4.58,0,0,999,4138
Philip Pfeifer,Braves,0,0,4.26,0,1,0,1,1,0,0,1,1,1.53,9.64,5.83,4.58,0,0,999,sa602699
Yhonathan Barrios,Brewers,0,0,4.64,0,1,0,1,1,1,0,1,0,1.43,8.58,3.91,4.58,0,0,999,11166
Jayson Aquino,Orioles,3,3,4.4,0,55,0,55,58,27,8,43,19,1.38,7.1,3.04,4.58,0.1,0.2,999,13150
Robert Benincasa,Nationals,0,0,4.5,0,1,0,1,1,1,0,1,0,1.41,8.52,4.01,4.59,0,0,999,sa502783
Dan Straily,Marlins,9,12,4.62,31,31,0,182,182,94,29,162,64,1.34,8.02,3.13,4.59,1.6,1.3,318.3,9460
Tim Cooney,Cardinals,0,0,4.47,0,0,0,1,1,0,0,1,0,1.34,7.55,2.94,4.59,0,0,999,13762
Cory Rasmus,Angels,0,0,4.33,0,1,0,1,1,0,0,1,0,1.34,8.53,3.68,4.59,0,0,999,2413
Jandel Gustave,Astros,1,0,4.46,0,10,0,10,10,5,1,10,5,1.44,8.61,4.36,4.59,0,0,999,14665
Bryan Evans,Mariners,0,0,4.6,0,0,0,1,1,1,0,1,0,1.31,7.65,2.53,4.59,0,0,999,sa455162
Louis Head,Indians,0,0,4.43,0,1,0,1,1,0,0,1,0,1.43,8.25,4.2,4.59,0,0,999,sa658343
Layne Somsen,Reds,0,0,4.37,0,1,0,1,1,0,0,1,1,1.48,8.92,4.91,4.59,0,0,999,15301
Eric Skoglund,Royals,7,9,4.47,16,71,0,142,145,71,21,116,48,1.36,7.35,3.04,4.59,0.7,1.2,709,16155
Andrew Morales,Cardinals,0,0,4.47,0,1,0,1,1,0,0,1,0,1.37,7.43,3.27,4.59,0,0,999,sa828705
Justin Haley,Twins,0,0,4.51,0,1,0,1,1,1,0,1,0,1.34,7.29,2.84,4.59,0,0,999,13572
Chris Reed,Marlins,0,0,4.38,0,1,0,1,1,0,0,1,0,1.47,7.71,4.37,4.59,0,0,999,12801
Jeremy McBryde,Angels,0,0,4.31,0,1,0,1,1,0,0,1,0,1.33,8.23,3.52,4.59,0,0,999,sa328275
Edgar Olmos,Mariners,0,0,4.35,0,1,0,1,1,0,0,1,0,1.42,8,4.06,4.59,0,0,999,10174
Mason Melotakis,Twins,0,0,4.41,0,1,0,1,1,0,0,1,0,1.45,8.24,4.26,4.59,0,0,999,sa621016
Manny Parra,Reds,0,0,4.45,0,1,0,1,1,0,0,1,0,1.43,8.28,4,4.59,0,0,999,4279
Tyler Bray,Cardinals,0,0,4.39,0,1,0,1,1,0,0,1,1,1.51,7.32,4.58,4.59,0,0,999,sa829423
Jose Valdez,Padres,0,0,4.45,0,1,0,1,1,0,0,1,1,1.43,9.04,4.5,4.59,0,0,999,14470
Zach Petrick,Cardinals,0,0,4.61,0,0,0,1,1,1,0,1,0,1.35,6.63,2.46,4.59,0,0,999,sa659444
Keury Mella,Reds,0,1,4.42,0,10,0,10,10,5,1,9,4,1.37,8.13,3.47,4.59,0,0,999,15964
Frank Herrmann,Phillies,0,0,4.53,0,1,0,1,1,1,0,1,0,1.32,8.51,3.05,4.59,0,0,999,7960
Joel Peralta,Cubs,0,0,4.46,0,1,0,1,1,0,0,1,0,1.28,8.7,2.95,4.59,0,0,999,2332
Emilio Pagan,Athletics,2,2,4.51,0,45,0,45,42,23,7,45,17,1.32,8.98,3.49,4.6,0,0,619.6,14771
Neil Holland,Indians,0,0,4.51,0,1,0,1,1,1,0,1,0,1.39,6.68,2.99,4.6,0,0,999,sa548553
Jeanmar Gomez,Phillies,0,0,4.54,0,1,0,1,1,1,0,1,0,1.42,6.85,3.18,4.6,0,0,999,9033
Brian Broderick,Royals,0,0,4.53,0,1,0,1,1,1,0,1,0,1.44,6.54,3.4,4.6,0,0,999,3773
Jordan Montgomery,Yankees,11,9,4.5,28,38,0,163,163,81,26,147,59,1.36,8.11,3.23,4.6,1.9,1.9,247.4,16511
Aaron Northcraft,Padres,0,0,4.53,0,0,0,1,1,1,0,1,0,1.46,7.13,3.83,4.6,0,0,999,sa501597
Michael Jensen,Cubs,0,0,4.37,0,1,0,1,1,0,0,1,1,1.48,8.1,4.66,4.6,0,0,999,sa599280
Johnny Shuttlesworth,Diamondbacks,0,0,4.61,0,1,0,1,1,1,0,1,0,1.39,7.71,3.31,4.6,0,0,999,sa738406
Ricardo Rodriguez,Rangers,0,0,4.63,0,10,0,10,10,5,2,9,4,1.4,8.54,3.64,4.6,0,0.1,999,15458
Anibal Sanchez,,0,0,4.67,0,0,0,1,1,1,0,1,0,1.34,7.91,2.93,4.6,0,0,652.8,3284
Kyle Lobstein,Pirates,0,0,4.44,0,1,0,1,1,0,0,1,0,1.49,6.51,3.8,4.6,0,0,999,9178
Jairo Asencio,Orioles,0,0,4.61,0,1,0,1,1,1,0,1,0,1.39,8.23,3.39,4.6,0,0,999,3332
Robert Morey,Marlins,0,0,4.67,0,0,0,1,1,1,0,1,0,1.46,6.43,3.46,4.6,0,0,999,sa392218
Eduardo Paredes,Angels,2,2,4.33,0,35,0,35,33,17,5,31,14,1.35,8.1,3.65,4.6,0,0.1,999,16344
Jonathan Albaladejo,Mets,0,0,4.59,0,0,0,1,1,1,0,1,0,1.37,6.84,2.77,4.6,0,0,999,3521
Thomas Lee,Cardinals,0,0,4.56,0,1,0,1,1,1,0,1,0,1.38,6.61,2.82,4.6,0,0,999,sa659442
Chris O'Grady,Marlins,0,1,4.47,2,2,0,9,9,4,1,7,4,1.4,7.21,3.52,4.6,0.1,0.1,999,13818
Harold Arauz,Phillies,0,0,4.52,0,1,0,1,1,1,0,1,0,1.38,7.44,3.23,4.6,0,0,999,sa657710
Tyler Waldron,Cardinals,0,0,4.61,0,1,0,1,1,1,0,1,0,1.4,6.59,2.87,4.6,0,0,999,sa545242
Drew Rucinski,Twins,0,0,4.58,0,1,0,1,1,1,0,1,0,1.35,7.22,2.72,4.6,0,0,999,12499
Corey Taylor,Mets,0,0,4.51,0,1,0,1,1,1,0,1,0,1.41,7.18,3.32,4.6,0,0,999,sa827144
Jorgan Cavanerio,Marlins,0,0,4.65,0,0,0,1,1,1,0,1,0,1.41,5.76,2.68,4.61,0,0,999,sa598143
Kyle Crick,Pirates,2,2,4.43,0,45,0,45,42,22,5,43,25,1.5,8.66,5.01,4.61,0,0,671.8,13182
Josh Collmenter,Braves,0,0,4.55,0,1,0,1,1,1,0,1,0,1.34,7.35,2.7,4.61,0,0,999,7312
Taylor Jungmann,Brewers,0,0,4.66,0,1,0,1,1,1,0,1,0,1.47,8.77,4.37,4.61,0,0,999,13119
Josh Hodges,Marlins,0,0,4.6,0,1,0,1,1,1,0,1,0,1.47,7.5,4.12,4.61,0,0,999,sa501515
Cole Hamels,Rangers,12,12,4.69,32,32,0,201,210,105,29,168,76,1.42,7.51,3.39,4.61,2.3,2.3,238.7,4972
Mike Pelfrey,,2,2,4.64,0,40,0,40,44,21,5,28,14,1.43,6.26,3.08,4.61,0,0,999,5203
Scott Barlow,Royals,2,2,4.49,2,37,0,44,42,22,6,42,20,1.41,8.49,4.15,4.61,0.1,0.2,999,sa597976
Josh Edgin,Mets,0,0,4.43,0,1,0,1,1,0,0,1,0,1.46,8.1,4.29,4.61,0,0,999,10796
Jake Peavy,Giants,0,0,4.55,0,0,0,1,1,1,0,1,0,1.34,7.01,2.83,4.61,0,0,999,1051
Danny Barnes,Blue Jays,3,3,4.57,0,55,2,55,52,28,10,54,19,1.3,8.87,3.13,4.62,0,0.1,999,11388
Peter Tago,Mariners,0,0,4.36,0,1,0,1,1,0,0,1,1,1.47,8.98,4.99,4.62,0,0,999,sa548162
Barry Enright,Angels,0,0,4.38,0,0,0,1,1,0,0,1,0,1.28,5.88,1.97,4.62,0,0,999,2412
Mike Clevinger,Indians,10,9,4.46,29,29,0,160,149,79,25,160,72,1.38,8.96,4.03,4.62,1.6,2.1,215.7,12808
Tristan Archer,Brewers,0,0,4.71,0,1,0,1,1,1,0,1,0,1.38,7.69,2.96,4.62,0,0,999,sa503277
Rafael Dolis,Cubs,0,0,4.36,0,1,0,1,1,0,0,1,1,1.48,8.05,4.74,4.62,0,0,999,4185
Kyle Bartsch,Padres,0,0,4.43,0,1,0,1,1,0,0,1,0,1.45,7.38,3.91,4.62,0,0,999,sa737840
Kevin Herget,Cardinals,0,0,4.6,0,0,0,1,1,1,0,1,0,1.39,7.58,3.31,4.62,0,0,999,sa738986
Jon Niese,Mets,0,0,4.56,0,0,0,1,1,1,0,1,0,1.43,6.59,3.06,4.62,0,0,999,4424
Zeke Spruill,Diamondbacks,0,0,4.63,0,1,0,1,1,1,0,1,0,1.41,6.57,3.01,4.62,0,0,999,3873
Steve Johnson,Mariners,0,0,4.48,0,1,0,1,1,0,0,1,0,1.36,8.7,3.68,4.62,0,0,999,4053
Paolo Espino,Rangers,0,0,4.67,0,1,0,1,1,1,0,1,0,1.31,7.45,2.3,4.62,0,0,999,8246
Eric Karch,Angels,0,0,4.39,0,1,0,1,1,0,0,1,0,1.36,6.87,3.14,4.62,0,0,999,sa827415
Joe Mantiply,Tigers,0,0,4.35,0,1,0,1,1,0,0,1,0,1.37,6.93,3.11,4.62,0,0,999,14857
Nicholas Frey,Cardinals,0,0,4.54,0,1,0,1,1,1,0,1,0,1.47,6.58,3.64,4.62,0,0,999,sa738526
Tom Harlan,Pirates,0,0,4.51,0,1,0,1,1,1,0,1,0,1.41,7.05,3.32,4.62,0,0,999,sa658235
James Simmons,Nationals,0,0,4.65,0,0,0,1,1,1,0,1,0,1.35,7.41,2.73,4.62,0,0,999,sa389395
Corbin Burnes,Brewers,0,0,4.75,0,0,0,1,1,1,0,1,0,1.44,7.86,3.56,4.62,0,0,642.9,sa873673
Justin Hancock,Cubs,0,0,4.46,0,1,0,1,1,0,0,1,0,1.43,7.87,4,4.63,0,0,999,sa598262
Benino Pruneda,,0,0,4.46,0,1,0,1,1,0,0,1,1,1.48,8.76,4.9,4.63,0,0,999,sa401631
Kyle Hooper,Dodgers,0,0,4.43,0,1,0,1,1,0,0,1,0,1.38,8.47,3.91,4.63,0,0,999,sa502347
Brett Kennedy,Padres,0,0,4.55,0,0,0,1,1,1,0,1,0,1.39,7.72,3.48,4.63,0,0,999,sa875359
Seth Lugo,Mets,7,9,4.63,24,24,0,137,145,71,22,108,41,1.35,7.09,2.66,4.63,1.3,0.8,538.8,12447
Matt Belisle,Twins,0,0,4.62,0,1,0,1,1,1,0,1,0,1.42,6.95,3.2,4.63,0,0,547.8,1837
Hector Hernandez,Diamondbacks,0,0,4.53,0,1,0,1,1,1,0,1,0,1.42,7.64,3.61,4.63,0,0,999,sa501640
Wei-Chung Wang,Brewers,0,0,4.61,0,1,0,1,1,1,0,1,0,1.38,7.6,2.95,4.63,0,0,999,14382
Brandon Waddell,Pirates,0,0,4.49,0,0,0,1,1,0,0,1,0,1.52,6.9,4.3,4.63,0,0,999,sa875075
Ross Vance,Cardinals,0,0,4.41,0,1,0,1,1,0,0,1,0,1.49,7.25,4.26,4.63,0,0,999,sa913143
Eric Lauer,Padres,0,0,4.44,0,0,0,1,1,0,0,1,0,1.38,7.97,3.55,4.63,0,0,999,sa738156
Yacksel Rios,Phillies,1,2,4.45,0,30,0,30,28,15,4,29,13,1.39,8.69,3.95,4.63,0,0,999,15007
Jerry Vasto,Rockies,0,0,4.58,0,1,0,1,1,1,0,1,0,1.48,8.81,4.47,4.63,0,0,999,sa829502
Ramon Benjamin,Padres,0,0,4.36,0,1,0,1,1,0,0,1,0,1.47,7.71,4.32,4.63,0,0,999,sa393218
Greg Nappo,Marlins,0,0,4.43,0,1,0,1,1,0,0,1,0,1.43,8.04,4.15,4.63,0,0,999,sa599112
Tyler Wagner,Diamondbacks,0,0,4.58,0,1,0,1,1,1,0,1,0,1.43,7.17,3.55,4.63,0,0,999,13796
Stephen Shackleford,Phillies,0,0,4.49,0,1,0,1,1,0,0,1,0,1.41,8.62,4.02,4.63,0,0,999,sa549913
Greg Smith,Braves,0,0,4.52,0,0,0,1,1,1,0,1,0,1.38,6.56,2.79,4.63,0,0,999,3455
Dietrich Enns,Twins,0,0,4.44,0,10,0,10,10,5,2,9,4,1.38,8.12,3.64,4.63,0,0.1,999,13932
Logan Bawcom,Padres,0,0,4.51,0,1,0,1,1,1,0,1,0,1.42,8.27,4.01,4.63,0,0,999,sa549287
Ryan Carpenter,Tigers,2,2,4.45,5,15,0,38,37,19,6,32,12,1.3,7.74,2.81,4.63,0.3,0.4,999,sa455439
Ryan Webb,Rays,0,0,4.49,0,1,0,1,1,0,0,1,0,1.44,6.17,3.41,4.64,0,0,999,7474
Brian Dupra,Nationals,0,0,4.57,0,1,0,1,1,1,0,1,0,1.46,7.73,4.01,4.64,0,0,999,sa526184
Adam Parks,Rangers,0,0,4.63,0,1,0,1,1,1,0,1,0,1.39,8.66,3.72,4.64,0,0,999,sa829657
Javy Guerra,Marlins,0,0,4.56,0,1,0,1,1,1,0,1,0,1.5,7.39,4.41,4.64,0,0,999,7407
Carlos Hernandez,,0,0,4.51,0,0,0,1,1,1,0,1,0,1.35,5.89,2.2,4.64,0,0,999,sa393410
Jeff Walters,Mets,0,0,4.54,0,1,0,1,1,1,0,1,0,1.42,7.86,3.76,4.64,0,0,999,sa328221
Brooks Pounders,Angels,1,1,4.38,0,30,0,30,28,15,5,28,12,1.33,8.43,3.52,4.64,0,0,748,10387
Arcenio Leon,Tigers,0,0,4.44,0,1,0,1,1,0,0,1,0,1.48,7.24,4.29,4.64,0,0,999,8846
Jake Zokan,Mariners,0,0,4.43,0,1,0,1,1,0,0,1,0,1.38,7.53,3.32,4.64,0,0,999,sa737880
Winston Abreu,,0,0,4.52,0,1,0,1,1,1,0,1,0,1.47,8.25,4.47,4.64,0,0,999,582
Zech Lemond,Padres,0,0,4.52,0,1,0,1,1,1,0,1,0,1.38,7.23,3.18,4.64,0,0,999,sa602584
Vince Velasquez,Phillies,7,7,4.59,21,21,0,115,111,59,19,115,45,1.36,9.03,3.56,4.64,1.3,1,383.6,11189
Matt Purke,White Sox,0,0,4.38,0,1,0,1,1,0,0,1,1,1.49,8.8,4.87,4.64,0,0,999,12831
Lisalverto Bonilla,Reds,0,0,4.54,0,1,0,1,1,1,0,1,0,1.42,8.31,3.94,4.64,0,0,999,11266
Daniel Burawa,Braves,0,0,4.51,0,1,0,1,1,1,0,1,1,1.53,8.25,5.06,4.64,0,0,999,11397
Justin Marks,Rays,0,0,4.26,0,1,0,1,1,0,0,1,0,1.39,8.12,4.07,4.64,0,0,999,10265
Alex Wilson,Tigers,3,3,4.57,0,65,5,65,69,33,10,47,20,1.37,6.55,2.76,4.64,0,0.1,643.8,9239
Iden Nazario,Cardinals,0,0,4.45,0,1,0,1,1,0,0,1,0,1.45,8.05,4.26,4.64,0,0,999,sa545221
Dalier Hinojosa,Phillies,0,0,4.52,0,1,0,1,1,1,0,1,0,1.42,8.6,4.1,4.64,0,0,999,15671
Marco Gonzales,Mariners,5,5,4.48,11,31,0,81,83,41,13,67,27,1.35,7.38,3.01,4.64,0.5,0.5,673.6,15467
Dean Kiekhefer,Cardinals,0,0,4.48,0,1,0,1,1,0,0,1,0,1.45,6.54,3.44,4.64,0,0,999,10529
Rob Whalen,Mariners,1,1,4.54,0,15,0,15,15,8,2,13,6,1.4,7.5,3.49,4.64,0,0,999,14165
Rogelio Armenteros,Astros,0,0,4.63,0,0,0,1,1,1,0,1,0,1.38,8.82,3.75,4.64,0,0,717.4,sa877310
Andres Machado,Royals,1,1,4.6,0,15,0,15,15,8,2,12,5,1.38,7.47,3.29,4.64,0,0,999,14681
Yoan Lopez,Diamondbacks,0,0,4.55,0,1,0,1,1,1,0,1,0,1.43,8.38,4.15,4.64,0,0,999,sa862560
Angel Castro,Athletics,0,0,4.54,0,1,0,1,1,1,0,1,0,1.4,6.52,3.12,4.64,0,0,999,3243
Jhoulys Chacin,Brewers,7,9,4.71,23,23,0,127,134,67,18,109,51,1.45,7.67,3.63,4.65,1.4,1,360.7,2608
Taylor Guerrieri,Blue Jays,3,4,4.67,6,31,0,62,67,32,8,45,22,1.44,6.54,3.27,4.65,0.4,0.3,999,sa597787
Dallas Beeler,Cubs,0,0,4.48,0,0,0,1,1,0,0,1,0,1.45,6.34,3.52,4.65,0,0,999,11471
Damien Magnifico,Angels,1,1,4.26,0,25,0,25,24,12,3,22,14,1.51,7.84,5.07,4.65,0,0,999,13395
Kendall Graveman,Athletics,8,10,4.77,26,26,0,151,170,80,20,100,47,1.44,5.95,2.82,4.65,1.4,1.1,479,15514
Luke Sims,Braves,0,1,4.54,2,2,0,9,8,5,1,9,4,1.42,9.14,4.47,4.65,0.1,0.1,645.1,13470
Elliot Morris,Padres,0,0,4.53,0,1,0,1,1,1,0,1,0,1.41,7.66,3.68,4.65,0,0,999,sa737798
Jake Stinnett,Cubs,0,0,4.44,0,1,0,1,1,0,0,1,0,1.44,7.75,4.14,4.65,0,0,999,sa738473
Ryan Merritt,Indians,1,1,4.46,2,17,0,24,26,12,4,16,5,1.31,6.02,2,4.65,0.1,0.1,645,13688
Tsuyoshi Wada,Cubs,0,0,4.48,0,0,0,1,1,0,0,1,0,1.32,7.84,2.76,4.65,0,0,999,13046
Jake Dunning,Giants,0,0,4.46,0,1,0,1,1,0,0,1,0,1.48,6.79,4.15,4.65,0,0,999,10803
Jaron Long,Nationals,0,0,4.67,0,0,0,1,1,1,0,1,0,1.38,5.99,2.4,4.65,0,0,999,sa706969
Michael O'Neal,Braves,0,0,4.49,0,1,0,1,1,0,0,1,0,1.45,7.78,4.09,4.65,0,0,999,sa914643
John Kuchno,Pirates,0,0,4.62,0,1,0,1,1,1,0,1,0,1.5,6.14,3.65,4.65,0,0,999,sa658331
Tayron Guerrero,Marlins,0,1,4.54,0,10,0,10,9,5,1,10,6,1.53,8.69,5.33,4.65,0,0,999,11691
Drew Muren,Diamondbacks,0,0,4.57,0,1,0,1,1,1,0,1,1,1.47,9.06,4.86,4.65,0,0,999,sa545091
Colton Reavis,Rays,0,0,4.44,0,1,0,1,1,0,0,1,0,1.43,7.94,4.13,4.65,0,0,999,sa738451
Williams Perez,Braves,0,0,4.67,0,0,0,1,1,1,0,1,0,1.48,7.06,3.83,4.66,0,0,999,11592
Braulio Lara,Nationals,0,0,4.39,0,1,0,1,1,0,0,1,1,1.51,8.2,4.86,4.66,0,0,999,sa506176
Matt Benedict,Pirates,0,0,4.72,0,0,0,1,1,1,0,1,0,1.41,5.6,2.51,4.66,0,0,999,sa598565
Ty Blach,Giants,6,7,4.52,19,19,0,115,129,58,14,63,34,1.42,4.93,2.67,4.66,0.7,0.7,670.1,14361
Jose Dominguez,Padres,0,0,4.53,0,1,0,1,1,1,0,1,1,1.49,8.68,4.86,4.66,0,0,999,11571
Luis Mateo,Mets,0,0,4.55,0,1,0,1,1,1,0,1,0,1.45,7.55,3.97,4.66,0,0,999,sa597557
Rob Scahill,Brewers,0,0,4.74,0,1,0,1,1,1,0,1,0,1.5,7.03,3.71,4.66,0,0,999,9286
JC Ramirez,Angels,7,7,4.54,19,19,0,112,117,57,15,83,41,1.4,6.66,3.25,4.66,1,1,528.4,8302
Aaron Bummer,White Sox,2,2,4.36,0,35,0,35,33,17,4,34,20,1.51,8.62,5.03,4.66,0,0.1,999,16258
Duane Underwood Jr.,Cubs,0,0,4.43,0,10,0,10,10,5,1,9,4,1.4,7.76,3.78,4.66,0,0,999,sa657936
Yohander Mendez,Rangers,1,1,4.52,0,15,0,15,15,8,2,13,6,1.39,8.01,3.52,4.66,0,0.1,649.8,14391
Tom Wilhelmsen,Diamondbacks,0,0,4.7,0,1,0,1,1,1,0,1,0,1.48,7.47,4.03,4.66,0,0,999,9975
Keyvius Sampson,Reds,0,0,4.45,0,1,0,1,1,0,0,1,1,1.45,9.69,4.96,4.66,0,0,999,10039
Rowan Wick,Cardinals,0,0,4.52,0,10,0,10,10,5,1,9,5,1.46,8.27,4.47,4.66,0,0,999,sa549441
Scott Downs,Royals,0,0,4.48,0,1,0,1,1,0,0,1,0,1.54,5.96,4.1,4.66,0,0,999,773
Mitch Lively,,0,0,4.63,0,0,0,1,1,1,0,1,0,1.4,7.18,3.22,4.66,0,0,999,sa390254
Robert Gsellman,Mets,5,6,4.6,16,16,0,90,98,46,12,63,32,1.43,6.33,3.16,4.66,0.8,0.5,540.5,13696
Ben Paullus,Padres,0,0,4.59,0,1,0,1,1,1,0,1,0,1.44,7.75,3.89,4.67,0,0,999,sa599733
Kevin Quackenbush,Padres,0,0,4.66,0,1,0,1,1,1,0,1,0,1.44,7.68,3.74,4.67,0,0,999,12360
Julio Teheran,Braves,9,12,4.67,29,29,0,179,184,93,29,153,60,1.36,7.69,3.02,4.67,1.5,1.4,246.3,6797
Jerome Williams,Cardinals,0,0,4.69,0,1,0,1,1,1,0,1,0,1.4,6.25,2.64,4.67,0,0,999,1137
Brett Oberholtzer,Angels,0,0,4.35,0,1,0,1,1,0,0,1,0,1.35,6.35,2.82,4.67,0,0,999,3855
Jakob Junis,Royals,9,12,4.68,29,29,0,171,177,89,28,141,49,1.32,7.39,2.59,4.67,1.4,1.8,381.1,13619
Lewis Thorpe,Twins,0,0,4.49,0,10,0,10,10,5,1,10,5,1.42,8.73,4.21,4.67,0,0.1,999,sa739599
Chris Jones,Angels,0,0,4.39,0,0,0,1,1,0,0,1,0,1.39,5.91,2.94,4.67,0,0,999,sa392067
Bryan Garcia,Tigers,0,0,4.54,0,1,0,1,1,1,0,1,0,1.42,8.68,4.24,4.67,0,0,999,sa873996
Al Alburquerque,White Sox,0,0,4.55,0,1,0,1,1,1,0,1,0,1.45,8.59,4.36,4.67,0,0,687,6324
Michael Kohn,Braves,0,0,4.57,0,1,0,1,1,1,0,1,1,1.46,9.62,4.93,4.67,0,0,999,8505
Patrick Schuster,Phillies,0,0,4.42,0,1,0,1,1,0,0,1,0,1.47,7.97,4.35,4.67,0,0,999,10029
Tyler Spurlin,Brewers,0,0,4.69,0,1,0,1,1,1,0,1,1,1.55,7.53,4.51,4.67,0,0,999,sa739833
Evan Mitchell,Reds,0,0,4.5,0,1,0,1,1,1,0,1,0,1.5,7.08,4.15,4.67,0,0,999,sa708969
Kevin Jepsen,,0,1,4.59,0,10,0,10,10,5,1,9,4,1.42,8.12,3.88,4.67,0,0,999,6475
Kyuji Fujikawa,Rangers,0,0,4.64,0,1,0,1,1,1,0,1,0,1.44,9.11,4.36,4.67,0,0,999,14443
Ervin Santana,Twins,10,11,4.77,29,29,0,184,193,97,29,149,59,1.37,7.29,2.89,4.67,1.9,1.8,181.8,3200
Daury Torrez,Cubs,0,0,4.47,0,1,0,1,1,0,0,1,0,1.34,7.09,2.9,4.67,0,0,999,sa596959
Joely Rodriguez,Phillies,0,0,4.42,0,1,0,1,1,0,0,1,0,1.51,7.27,4.39,4.67,0,0,999,11487
Miller Diaz,Diamondbacks,0,0,4.59,0,1,0,1,1,1,0,1,1,1.5,7.86,4.58,4.67,0,0,999,sa504858
Sal Romano,Reds,4,4,4.57,11,11,0,64,66,32,9,53,24,1.41,7.43,3.39,4.67,0.7,0.6,619.8,13690
Josh Smith,Athletics,0,0,4.65,0,1,0,1,1,1,0,1,0,1.39,7.39,3.28,4.67,0,0,999,10946
Victor Arano,Phillies,1,1,4.52,0,15,0,15,15,8,2,14,6,1.34,8.35,3.33,4.67,0,0,999,15915
Casey Bloomquist,Cubs,0,0,4.55,0,0,0,1,1,1,0,1,0,1.41,5.84,2.82,4.68,0,0,999,sa875732
Luke Jackson,Braves,0,0,4.6,0,1,0,1,1,1,0,1,1,1.5,8.29,4.65,4.68,0,0,999,11752
Louis Coleman,Dodgers,0,0,4.41,0,1,0,1,1,0,0,1,0,1.38,8.93,4.16,4.68,0,0,999,9720
Neil Wagner,Blue Jays,0,0,4.6,0,1,0,1,1,1,0,1,0,1.44,8.17,4.09,4.68,0,0,999,8162
Austin Brice,Reds,2,2,4.5,0,40,0,40,39,20,6,37,16,1.37,8.43,3.63,4.68,0,0,999,17237
